symbol,date,open,close,high,low,vol,oi,month,day
psfi,2024-12-26,43996.0,41640.0,43996.0,41072.0,331253.0,39699.0,12,26
psfi,2024-12-27,41677.0,42038.0,42219.0,41305.0,179509.0,41707.0,12,27
psfi,2024-12-30,41983.0,42626.0,43074.0,41878.0,140797.0,44090.0,12,30
psfi,2024-12-31,42630.0,42573.0,42785.0,42345.0,77070.0,39882.0,12,31
psfi,2025-01-02,42437.0,42668.0,42771.0,42437.0,38452.0,38224.0,1,2
psfi,2025-01-03,42659.0,42660.0,42857.0,42476.0,38030.0,36759.0,1,3
psfi,2025-01-06,42722.0,43461.0,43658.0,42672.0,73061.0,40185.0,1,6
psfi,2025-01-07,43426.0,43337.0,43564.0,42919.0,42351.0,39313.0,1,7
psfi,2025-01-08,43307.0,42888.0,43434.0,42836.0,31588.0,37201.0,1,8
psfi,2025-01-09,43153.0,42788.0,43153.0,42363.0,38799.0,37067.0,1,9
psfi,2025-01-10,42823.0,43293.0,43664.0,42682.0,35071.0,36459.0,1,10
psfi,2025-01-13,43442.0,43586.0,43649.0,43118.0,23363.0,36322.0,1,13
psfi,2025-01-14,43490.0,43865.0,44009.0,43338.0,37613.0,37909.0,1,14
psfi,2025-01-15,43761.0,44405.0,44788.0,43761.0,82177.0,41082.0,1,15
psfi,2025-01-16,44363.0,44303.0,44577.0,44026.0,30304.0,40134.0,1,16
psfi,2025-01-17,44306.0,45106.0,45341.0,44235.0,65708.0,44156.0,1,17
psfi,2025-01-20,44748.0,44901.0,45077.0,44736.0,24235.0,42049.0,1,20
psfi,2025-01-21,44958.0,44524.0,45010.0,44238.0,36212.0,38481.0,1,21
psfi,2025-01-22,44351.0,44066.0,44452.0,43637.0,30632.0,36567.0,1,22
psfi,2025-01-23,44003.0,43685.0,44174.0,43652.0,18391.0,35388.0,1,23
psfi,2025-01-24,43631.0,43568.0,44053.0,43309.0,23083.0,34223.0,1,24
psfi,2025-01-27,43676.0,44068.0,44071.0,43485.0,11186.0,33263.0,1,27
psfi,2025-02-05,43867.0,43565.0,44297.0,43271.0,16618.0,33056.0,2,5
psfi,2025-02-06,43612.0,44122.0,44194.0,43600.0,14596.0,33786.0,2,6
psfi,2025-02-07,44064.0,44376.0,44860.0,44028.0,31336.0,35218.0,2,7
psfi,2025-02-10,44366.0,44692.0,44753.0,44082.0,16526.0,34233.0,2,10
psfi,2025-02-11,44654.0,44189.0,44677.0,44019.0,17410.0,32686.0,2,11
psfi,2025-02-12,44167.0,44252.0,44553.0,44148.0,11014.0,32813.0,2,12
psfi,2025-02-13,44287.0,44153.0,44435.0,43987.0,11176.0,32532.0,2,13
psfi,2025-02-14,44351.0,44444.0,44540.0,44198.0,10738.0,32465.0,2,14
psfi,2025-02-17,44411.0,44531.0,44637.0,44316.0,11394.0,32943.0,2,17
psfi,2025-02-18,44540.0,44451.0,44661.0,44412.0,9106.0,32550.0,2,18
psfi,2025-02-19,44532.0,44374.0,44537.0,44335.0,6226.0,32400.0,2,19
psfi,2025-02-20,44304.0,44068.0,44354.0,43999.0,13485.0,32907.0,2,20
psfi,2025-02-21,44144.0,44135.0,44334.0,43889.0,9876.0,32542.0,2,21
psfi,2025-02-24,44068.0,44200.0,44207.0,43950.0,6066.0,32821.0,2,24
psfi,2025-02-25,44109.0,44190.0,44363.0,44001.0,11405.0,32048.0,2,25
psfi,2025-02-26,44158.0,44772.0,44856.0,44058.0,25870.0,34410.0,2,26
psfi,2025-02-27,44695.0,44823.0,45018.0,44624.0,16610.0,34699.0,2,27
psfi,2025-02-28,44802.0,44580.0,44857.0,44472.0,9406.0,33517.0,2,28
psfi,2025-03-03,44622.0,44671.0,44743.0,44496.0,6941.0,33842.0,3,3
psfi,2025-03-04,44595.0,44346.0,44674.0,44293.0,9430.0,33551.0,3,4
psfi,2025-03-05,44390.0,44115.0,44408.0,44057.0,9073.0,34468.0,3,5
psfi,2025-03-06,44163.0,44545.0,44609.0,43972.0,20515.0,36465.0,3,6
psfi,2025-03-07,44499.0,44177.0,44544.0,44148.0,8767.0,35437.0,3,7
psfi,2025-03-10,44292.0,44019.0,44358.0,44002.0,8122.0,36252.0,3,10
psfi,2025-03-11,44106.0,44301.0,44339.0,44089.0,8592.0,36517.0,3,11
psfi,2025-03-12,44304.0,44212.0,44390.0,44090.0,6602.0,36697.0,3,12
psfi,2025-03-13,44222.0,44261.0,44359.0,44134.0,6987.0,36882.0,3,13
psfi,2025-03-14,44174.0,43938.0,44358.0,43924.0,13010.0,38004.0,3,14
psfi,2025-03-17,43997.0,43377.0,43997.0,43277.0,27996.0,41414.0,3,17
psfi,2025-03-18,43435.0,43182.0,43546.0,42640.0,38549.0,42960.0,3,18
psfi,2025-03-19,43183.0,43547.0,43578.0,42839.0,27664.0,43541.0,3,19
psfi,2025-03-20,43516.0,43596.0,43865.0,43271.0,30301.0,43133.0,3,20
psfi,2025-03-21,43668.0,43406.0,43729.0,43303.0,15368.0,43773.0,3,21
psfi,2025-03-24,43483.0,43525.0,43616.0,43314.0,10049.0,42481.0,3,24
psfi,2025-03-25,43515.0,43665.0,43717.0,43511.0,9832.0,41913.0,3,25
psfi,2025-03-26,43694.0,43547.0,43904.0,43525.0,14046.0,42168.0,3,26
psfi,2025-03-27,43638.0,43621.0,43718.0,43512.0,8456.0,42196.0,3,27
psfi,2025-03-28,43627.0,43546.0,43718.0,43446.0,7354.0,42272.0,3,28
psfi,2025-03-31,43540.0,43356.0,43540.0,43248.0,9782.0,42393.0,3,31
psfi,2025-04-01,43377.0,43400.0,43493.0,43251.0,8108.0,40962.0,4,1
psfi,2025-04-02,43378.0,43532.0,43598.0,43320.0,13270.0,43549.0,4,2
psfi,2025-04-03,43436.0,43483.0,43592.0,43261.0,16571.0,48339.0,4,3
psfi,2025-04-07,42758.0,43107.0,43447.0,42758.0,26656.0,48339.0,4,7
psfi,2025-04-08,43127.0,42232.0,43215.0,40817.0,59431.0,55035.0,4,8
psfi,2025-04-09,41972.0,41994.0,42079.0,40924.0,35373.0,55681.0,4,9
psfi,2025-04-10,42479.0,41950.0,42827.0,41887.0,25701.0,57095.0,4,10
psfi,2025-04-11,41630.0,41548.0,41871.0,41131.0,32400.0,58835.0,4,11
psfi,2025-04-14,41723.0,41267.0,41723.0,41178.0,32634.0,62977.0,4,14
psfi,2025-04-15,41232.0,40153.0,41276.0,39843.0,76523.0,74324.0,4,15
psfi,2025-04-16,40335.0,39535.0,40415.0,39097.0,87723.0,80963.0,4,16
psfi,2025-04-17,39453.0,38705.0,39735.0,38655.0,85809.0,87834.0,4,17
psfi,2025-04-18,38649.0,37012.0,38654.0,36796.0,255361.0,108149.0,4,18
psfi,2025-04-21,37125.0,37746.0,38081.0,36602.0,190386.0,115546.0,4,21
psfi,2025-04-22,37404.0,37343.0,37833.0,37083.0,150387.0,117488.0,4,22
psfi,2025-04-23,37584.0,38363.0,38554.0,37437.0,109668.0,110904.0,4,23
psfi,2025-04-24,38130.0,38460.0,38970.0,37806.0,128463.0,108076.0,4,24
psfi,2025-04-25,38466.0,37679.0,38495.0,37669.0,114311.0,105186.0,4,25
psfi,2025-04-28,37683.0,37082.0,37730.0,37058.0,95915.0,106762.0,4,28
psfi,2025-04-29,36958.0,36659.0,37088.0,36310.0,138816.0,112817.0,4,29
psfi,2025-04-30,36539.0,36325.0,37201.0,35978.0,152672.0,112407.0,4,30
psfi,2025-05-06,36283.0,35677.0,36420.0,35533.0,109492.0,112407.0,5,6
psfi,2025-05-07,35905.0,34855.0,36541.0,34818.0,180370.0,134864.0,5,7
psfi,2025-05-08,34765.0,36003.0,36444.0,33739.0,557079.0,146115.0,5,8
psfi,2025-05-09,36470.0,36272.0,36857.0,35580.0,537485.0,157818.0,5,9
psfi,2025-05-12,36560.0,37043.0,37247.0,35639.0,460233.0,164962.0,5,12
psfi,2025-05-13,36809.0,37177.0,38292.0,36346.0,553569.0,159208.0,5,13
psfi,2025-05-14,37518.0,37625.0,37870.0,36661.0,397151.0,155443.0,5,14
psfi,2025-05-15,37247.0,37173.0,37615.0,36943.0,246912.0,152149.0,5,15
psfi,2025-05-16,36872.0,36012.0,36885.0,35657.0,309826.0,152604.0,5,16
psfi,2025-05-19,36068.0,35984.0,36489.0,35512.0,193806.0,149852.0,5,19
psfi,2025-05-20,35929.0,35499.0,36048.0,34917.0,245685.0,155055.0,5,20
psfi,2025-05-21,35530.0,35727.0,35983.0,35182.0,210324.0,156050.0,5,21
psfi,2025-05-22,35540.0,35917.0,35920.0,35216.0,162950.0,159469.0,5,22
psfi,2025-05-23,35866.0,35869.0,36515.0,35780.0,212969.0,153168.0,5,23
psfi,2025-05-26,35909.0,34640.0,35934.0,34626.0,210460.0,159697.0,5,26
psfi,2025-05-27,34433.0,34865.0,35031.0,34341.0,251381.0,166307.0,5,27
psfi,2025-05-28,34825.0,34524.0,35074.0,34185.0,196148.0,167474.0,5,28
